"nomeGateway";"nomeAuvo";"idAuvo"
"NOME_AQUI";"EDF. MANGARÁ (desativado)";"14254770"
"NOME_AQUI";"EDF. UNIDOS";"14254771"
"NOME_AQUI";"EDF. MARQUÊS DO PARANÁ";"14254772"
"NOME_AQUI";"EDF. VILLA DEL PORTO (desativado)";"14254773"
"NOME_AQUI";"EDF. MANOEL BATISTA";"14254774"
"NOME_AQUI";"EDF. VILLA DO MAR";"14254775"
"NOME_AQUI";"EDF. MEDUSA";"14254776"
"NOME_AQUI";"EDF. VILA VERDE TURMALINA";"14254777"
"NOME_AQUI";"EDF. MANOEL DE BRITTO";"14254778"
"NOME_AQUI";"EDF. VILLA DEL MAR";"14254779"
"NOME_AQUI";"EDF. MIRANTE CLASSIC";"14254780"
"NOME_AQUI";"EDF. OCEAN TOWER";"14254781"
"NOME_AQUI";"EDF. MONARCA";"14254782"
"NOME_AQUI";"EDF. MAR E SOL";"14254783"
"NOME_AQUI";"EDF. MONET";"14254784"
"NOME_AQUI";"EDF. PAÇO DO ATLÂNTICO";"14254787"
"NOME_AQUI";"EDF. ADRIANO I";"14259880"
"NOME_AQUI";"EDF. ALFREDO FARIAS";"14259893"
"NOME_AQUI";"EDF. BANGUÊ";"14259907"
"NOME_AQUI";"EDF. BELMIRO CORREA";"14259937"
"NOME_AQUI";"EDF. BRACIFE";"14260188"
"NOME_AQUI";"EDF. CAZÉ";"14260194"
"NOME_AQUI";"EDF. COSTA VICTÓRIA";"14260207"
"NOME_AQUI";"EDF. CUPE EXCLUSIVE";"14260219"
"NOME_AQUI";"EDF. DECO";"14260232"
"NOME_AQUI";"EDF. DUBOURCQ RESIDENCE";"14260245"
"NOME_AQUI";"EDF. FONTE ATLÂNTICO";"14260269"
"NOME_AQUI";"EDF. MONSARRAZ (desativado)";"14260282"
"NOME_AQUI";"EDF. GUADALAJARA";"14260308"
"NOME_AQUI";"EDF. PORTO ATHENAS";"14260318"
"NOME_AQUI";"EDF. ILHA DE MIKONOS";"14260332"
"NOME_AQUI";"EDF. JANAINA";"14260367"
"NOME_AQUI";"EDF. JARDIM DAS ACÁCIAS";"14260409"
"NOME_AQUI";"EDF. LADY SARISSE";"14260419"
"NOME_AQUI";"EDF. LAJE DE PEDRA";"14260424"
"NOME_AQUI";"EDF. LECHATEAU BRISSAC";"14260437"
"NOME_AQUI";"EDF. PAULO BRITO";"14262255"
"NOME_AQUI";"EDF. PIAZZA ARMANDO CAVANI";"14262266"
"NOME_AQUI";"EDF. PIAZZA DE SÃO PEDRO E PIAZZA DE SÃO MARCO";"14262276"
"NOME_AQUI";"EDF. PORTO KAI";"14262285"
"NOME_AQUI";"EDF. PRAIA DE VENDA GRANDE";"14262382"
"NOME_AQUI";"EDF. PRIVÊ DU VIRAGE";"14262417"
"NOME_AQUI";"EDF. RIO JURUÁ";"14262434"
"NOME_AQUI";"EDF. RIO TOCANTINS";"14262441"
"NOME_AQUI";"EDF. SPAZIO CLASSIC";"14262459"
"NOME_AQUI";"EDF. TAUA";"14262467"
"NOME_AQUI";"EDF. TURMALINA";"14262477"
"NOME_AQUI";"EDF. YOKOHAMA";"14262489"
"NOME_AQUI";"EDF. JAQUEIRA PARK SELMA SUASSUNA";"14295769"
"NOME_AQUI";"EDF. PORTAL ALAMEDA DOS DANTAS";"14297602"
"NOME_AQUI";"EDF. PARC BENVINDA DE FARIAS (desativado)";"14297697"
"NOME_AQUI";"EDF. SOLAR DOS LORDES 2 (desativado)";"14302226"
"NOME_AQUI";"EDF. MARIA LUIZA";"14360923"
"NOME_AQUI";"EDF. RAFAELA GONÇALVES";"14486199"
"NOME_AQUI";"EDF. RESIDENCIAL D'SPAIN";"15063285"
"NOME_AQUI";"EDF. SOLAR DE BOA VIAGEM";"15064030"
"NOME_AQUI";"EDF. CARVALHO";"15305585"
"NOME_AQUI";"EDF. PAULO (desativado)";"15319349"
"NOME_AQUI";"EDF. SOLAR DE SICUPEMA (desativado)";"15419809"
"NOME_AQUI";"EDF. MARANGUAPE";"15422515"
"NOME_AQUI";"EDF. YANACONCHA";"15441878"
"NOME_AQUI";"EDF. ANA EDUARDA";"15442008"
"NOME_AQUI";"EDF. PEDRA DO CONDE";"15473712"
"NOME_AQUI";"EDF. VILMA LÚCIA";"15494365"
"NOME_AQUI";"EDF. DOVER";"15494811"
"NOME_AQUI";"EDF. ANTÔNIO ACAÚ";"15689723"
"NOME_AQUI";"EDF. SOLAR PRINCESA LEOPOLDINA (desativado)";"15693853"
"NOME_AQUI";"EDF. ANTALIA";"15740217"
"NOME_AQUI";"EDF. VILLA CAXANGÁ";"15765905"
"NOME_AQUI";"EDF. ELISA";"15877534"
"NOME_AQUI";"EDF. VOLENDAM (desativado)";"15879988"
"NOME_AQUI";"EDF. LUAR DO PORTO";"15971544"
"NOME_AQUI";"EDF. MAGDA SUASSUNA";"16011319"
"NOME_AQUI";"EDF. EMPRESARIAL MASTER";"16134608"
"NOME_AQUI";"EDF. VILLAGE DOS CAVALEIROS ";"16137079"
"NOME_AQUI";"EDF. SOLLAR PRINCESA LEOPOLDINA";"16261224"
"NOME_AQUI";"EDF. SANTA TEREZA";"16282725"
"NOME_AQUI";"EDF. SÃO SEBASTIÃO";"16567710"
"NOME_AQUI";"EDF. LEONARDO JOSÉ";"16586641"
"NOME_AQUI";"EDF. ANA PAULA";"16613784"
"NOME_AQUI";"EDF. MANGARÁ (desativado)";"16659185"
"NOME_AQUI";"EDF. VILLA LÁ PLAYA";"16661388"
"NOME_AQUI";"EDF. PRAÇA DAS HORTÊNCIAS";"16745912"
"NOME_AQUI";"EDF. THE PARK";"16842906"
"NOME_AQUI";"EDF. SANTA LUZIA";"16884178"
"NOME_AQUI";"EDF. PRIVÊ SERRA FLORADA";"16954840"
"NOME_AQUI";"EDF. SALVADOR DE SÁ";"17130990"
"NOME_AQUI";"EDF. VALLE DO JARDIM ATLÂNTICO";"17361018"
"NOME_AQUI";"EDF. PRAÇA DOS GIRASSÓIS";"17421848"
"NOME_AQUI";"EDF. ALBUQUERQUE MOREIRA";"17595350"
"NOME_AQUI";"EDF. ANCORADOURO";"17734132"
"NOME_AQUI";"EDF. ANA REGINA";"18007211"
"NOME_AQUI";"EDF. MONTEVERDI";"18040191"
"NOME_AQUI";"EDF. RIO DOS NAVEGANTES";"18095967"
"NOME_AQUI";"EDF. VÂNIA DE SOUZA LEÃO";"18095999"
"NOME_AQUI";"EDF. TRESOR";"18100305"
"NOME_AQUI";"EDF. PORTAL DAS GRAÇAS";"18315131"
"NOME_AQUI";"EDF. DALIA (desativado)";"18452296"
"NOME_AQUI";"EDF. BOULEVARD POISSON";"18500716"
"NOME_AQUI";"EDF. BRISA DO MAR";"18992422"
"NOME_AQUI";"EDF. ALAMEDA NOVO PRADO";"18992478"
"NOME_AQUI";"EDF. SANTA MARIA";"19137958"
"NOME_AQUI";"EDF. SOLAR DO SICUPEMA";"19168972"
"NOME_AQUI";"Barão de Melg (desativado)";"19257429"
"NOME_AQUI";"EDF. CONJUNTO RESIDENCIAL JK";"19294146"
"NOME_AQUI";"EDF. MARQUÊS DOS AFLITOS";"19392947"
"NOME_AQUI";"EDF. PALACIO LARANJEIRA";"19429300"
"NOME_AQUI";"EDF. VILLA DIAMANTINA";"19502921"
"NOME_AQUI";"EDF. GRAÇA DIAS";"19658789"
"NOME_AQUI";"EDF. PARADOR DE BARCELONA";"19669214"
"NOME_AQUI";"Parklane (desativado)";"19687944"
"NOME_AQUI";"EDF. LIOZ (desativado)";"19731864"
"NOME_AQUI";"EDF. SÃO SEBASTIÃO BV";"19867013"
"NOME_AQUI";"EDF. PRAIA DE GAVOA";"20018130"
"NOME_AQUI";"EDF. PORTAL DA VARZEA";"20362290"
"NOME_AQUI";"EDF. SÃO PAULO";"20443953"
"NOME_AQUI";"EDF. TERRAÇO BEIRA RIO";"20474610"
"NOME_AQUI";"EDF. JARDIM (desativado)";"20626793"
"NOME_AQUI";"EDF. PORTO OLINDA";"20684139"
"NOME_AQUI";"Residencial D'Spain (desativado)";"20685917"
"NOME_AQUI";"EDF. IMBÉ";"20874985"
"NOME_AQUI";"EDF. PORTAL DE PIEDADE";"21199951"
"NOME_AQUI";"EDF. OCEAN BREEZE";"21476405"
"NOME_AQUI";"EDF. MADISON RESIDENCE";"21510590"
"NOME_AQUI";"EDF. STUDIO ONE CLASSIC";"21510591"
"NOME_AQUI";"SICUPIRA (desativado)";"21523925"
"NOME_AQUI";"EDF. RIO CAPIBARIBE";"21567046"
"NOME_AQUI";"EDF. BARILOCHE";"21567057"
"NOME_AQUI";"EDF. PUERTO BILBAO";"21567072"
"NOME_AQUI";"EDF. MIRANTE";"21567082"
"NOME_AQUI";"EDF. SOCORRO GRILE";"21601001"
"NOME_AQUI";"EDF. SENHOR DO BONFIM";"22107991"
"NOME_AQUI";"EDF. SILVERSTONE";"22412937"
"NOME_AQUI";"EDF. VILLA BARILOCHE";"22642183"
"NOME_AQUI";"EDF. ESTAÇÃO VITÓRIA";"22697536"
"NOME_AQUI";"EDF. ALFA BETA";"22697804"
"NOME_AQUI";"EDF. SAMSARA";"22774499"
"NOME_AQUI";"EDF. MALIBU";"22781472"
"NOME_AQUI";"EDF. MONTSERRAT";"22826906"
"NOME_AQUI";"EDF. PORTO MALÉ";"22826916"
"NOME_AQUI";"EDF. PALM BEACH";"22826925"
"NOME_AQUI";"EDF. AVIS LIBERTA";"22826939"
"NOME_AQUI";"EDF. SANGANO BEACH PRIME";"22932085"
"NOME_AQUI";"EDF. PIEDADE RESIDENCE";"22940789"
